a surprising thing|jambo la ajabu
they are shaking their heads in agreement.|wanatikisa vichwa vyao katika kuafiki [Muk]
then she gazed at the girl who she had agreed with in the mirror|akimtazama msichana huyo ambaye alikuwa akiafikiana naye katika kioo [Mt]
If you don't want to come to an understanding with me I will use my authority .|Kama hutaki kuafikiana nami nitatumia madaraka yangu [Chacha, Masomo 383]
then leave, you and your evil genius companion|basi tokeni wewe na huyo afiriti mwenzako [Moh]
then leave, you and your wicked partner|basi tokeni wewe na huyo afiriti mwenzako [Moh]
On that very day a European officer came|siku hiyo hiyo alikuja afisa mmoja Mzungu [Ng];
agricultural officers|Maafisa ya kilimo [Masomo 154]
Egypt is a North African country.|Misri ni nchi ya Afrika ya Kaskazini
He ornaments the stars and the heavens, roses and jasmine|Hupamba nyota na mbingu, na mawaridi na afu [Shaaban Robert, "Rangi Zetu" 2 i]
It is better to travel than to stay.|ni afudhali kusafiri kuliko kukaa.
The main thing is health, He is not in good health|bora ~, hana ~ nzuri or ~ yake si nzuri
She had come to say goodbye to her grandfather.|Alikuwa amekuja kumuaga babuye [Balisidya, Masomo 352]
to die (euphemism)|aga dunia
New Testament, Old Testament|~ Jipya, ~ la Kale
more often on the week-end this girl went out|aghalabu siku za wikendi msichana huyu hutoka [Muk]
A poet is usually born with a special poetic ability; water is drawn with buckets, but the work is usually done by oxen.|Mshairi aghalabu huzaliwa na kipawa maalum cha ushairi [Masomo 395]; maji huchotwa kwa ndoo, ~ na ng'ombe
"Water is drawn with buckets, but the work is usually done by oxen".|maji huchotwa kwa ndoo, ~ na ng'ombe
Do as I have instructed you|fanya kama nilivyokuagiza
and he arrive and commissioned his friends to help him look for work in another place.|akafika kuagiza wenzake wamsaidie kutafuta kazi pahala pengine [Sul]
They will <b>order</b> you to leave, but do not listen to them.|Wataku<b>agiza</b> kuondoka, lakini usiwasikilizie.
letters to order things|barua za kuagizia [Masomo, 75]
make a promise, break a promise/vow, keep a promise/vow|-toa ('-funga, '-pa) ~, '-vunja ~, '-tizima ('-fikisha, '-shika) ~
brothers and (other) relatives|ndugu na ahali
to die (figurative).|-enda ahera
from beginning to end, what is your rock-bottom price?|-toka awali hata ~, (~ yako nini?  or ~ yako kiasi gani?)
I advised them to delay their trip because it is raining so much|nimeshauri waahirishe safari yao kwani mvua inanyesha sana
if at the time of voting irregularities take place in the voting place then it is up to the Station Supervisor to postpone the election|iwapo wakati wa upigaji kura yanatokea machafuko kituoni ni juu ya Msimamizi wa Kituo hicho kuahirisha uchaguzi huo [Masomo, 103]
the examination is postponed until tomorrow|mtihani umeahirishwa mpaka kesho
brothers and (other) relatives|ndugu na ahli
Thank you very much; give thanks, say thanks|~ sana; '-toa ~, '-sema ~
You are the one who is my disgrace.|Wewe ndiye aibu yangu [Chacha, Masomo 375]
Their neatness often made him feel ashamed to give them his hand.|Unadhifu wao mara nyingi ulimfanya aone aibu kuwapa mkono wake [Balisidya, Masomo 345]
All <b>kind</b>s of animals were in the forest.|Wanyanma wa kila <b>aina</b> walikuwepo msituni.
What kind of food is this?|Hiki ni chakula cha aina gani?
they were then admiring the scenery|wakawa wanayaajabia mandhari [Sul]
an extraordinary number|nyingi mno ajabu
then the strange things began|halafu maajabu yanaanza [Muk]
One surprising thing is that when our students leave school, many of them don't know at all how to write letters.|Ajabu moja ni kuwa wanafunzi wetu watokapo shule, huwa wengi wao hawajui kabisa kuandika barua [Masomo, 72]
An accident occurred there today.|hapa leo pana ~.
The physician does not delay fate|tabibu hazuii ~.
Nothing can avert an impending blow of fate (proverb).|haina kinga wala kafara
an extraordinary number|nyingi mno ajibu
as a result of, thanks to; therefore, because of, on the strength of|kwa ~ ya; kwa ~
Every person who has the responsibility of hiring workers must remember this obligation.|Kila mtu mwenye jukumu la kuwaajiri wafanya kazi lazima akumbuke wajibu huo [Nyerere, Masomo 282]
Indecision is the horse of hunger (proverb).|~ nyumba ya njaa
You yourselves are weak.|Wenyewe mna ajizi [Amana, Masomo 405]
Indecision is the horse of hunger (proverb).|~ nyumba ya njaa
feign muteness.|~ kimya.
few things|~ ya vitu, vitu ~
hand of a watch or clock|akarabu ya saa
his chair, his chairs|kiti chake, viti vyake
to die (figurative).|-enda ~.
from beginning to end, what is your rock-bottom price?|-toka awali hata ~, (~ yako nini?  or ~ yako kiasi gani?)
crowd of people|~ ya watu
what is saved does not spoil (proverb)|akiba haiozi (methali)
hold the burial ceremony for a child.|-soma ~.
disagreement offended her mind|mtafaruku uliomtwesha akili [Muk]
sense is wealth|akili ni mali
when he is of sound mind, the child doesn't venture to argue with his mother|awapo katika akili timamu, mtoto huyu hadiriki kumbishia mama yake [Muk]
people like us|akina sisi
Said's family|akina Said
that so and so Joseph hasn't yet arrived|akina Yusefu hajafika bado
to give the womenfolk an opportunity to work in factories|kuwapatia akina mama nafasi ya kufanya kazi katika viwanda [Masomo 259]
Juma is a person like us, kind and generous|Juma ni akina sisi, mwema na karimu
your wealth|mali zako
your place (rarely used)|mahali pako
hand of a watch or clock|akrabu ya saa
give thanks|toa aksante
crowd of people|~ ya watu
all kinds of instruments/tools, he came fully equipped|kila ~ ya kazi, amekuja na ~ zake
mark, indicate|-tia ~
"Colors are God's artisitic design, no color is a curse".|Rangi pambo lake Mungu, si alama ya maafa [Shaaban Robert, "Rangi Zetu" 1 iv]
it's best I speak with you before the arrival of the doctor and the fingerprint specialists.|bora nizungumze nawe kabla ya kufika daktari na wataalamu wa alama za vidole [Masomo 171]
and so forth|na ~
and so forth|na ~
invite to a feast|alika karamuni
summon to battle|alika vita
They invited each other to various celebrations.|Walialikana katika sherehe mbalimbali [Masomo 308]
make the joints of one's fingers crack|alisha vidole
either this or that|ama hii ama hii
his eyes did not see any person or car nearby|macho yake hayakuona mtu yeyote ama gari hapo karibu [Masomo 163]
question, is it true that the man went around naked was really the day he ran into his wife?|ama kweli siku anayokwenda uchi mtu, ndiyo siku anayokutana na mkwewe [Moh]
their business is house-building|~ yao ni kujenga nyumba
leave as a pledge, give as security|-weka ~.
can I do something for you?|haja ~?
Do you remember the place where you saw them?|Unakumbuka mahali ambapo uliwaona?
Is this the book that you've read?|Hiki ni kitabu ambacho umekisoma?
those who have gone|wale ambao wamekwenda
They went past the town without entering it.|waliambaa mji bila ya kuingia
They escaped from danger|waliambaa hatari
the mountain that is visible|mlima ambao unaonekana
He has nothing to give you in life [...] while I will open the door for you to freedom from need.|hana lolote la kukupa maishani [...] ambapo mimi nitakufungulia mlango wa uhuru kutokana na uhitaji [Mun]
its many cornered style of construction adhered to the laws of military defense [Masomo 142]|umbo lake la pembe pembe liliambatana na sheria za ulinzi wa kijeshi [Masomo 142]
the cloth has stuck to the wound|nguo imeambatana na kidonda
pictures which were developed|picha ambazo zilisafishwa
Tell me/ how do you endure/ the pain of being separated / from your fellow human beings?; There's no one who was brave enough to be able to tell his companion.|Niambie,/ wavumulia vipi/maumivu ya kutenganishwa/ na binadamu wenzako?  [Alamin Mazrui "Barua ya Mpenzi"49] hakuna aliyekuwa na ujasiri wa kuweza kumwambia mwenziwe [Kez]
a poor man does not pick up things, if he does, they say he stole them (proverb)|maskini haokoti, akiokota, huambiwa kaiba (methali)
I was told|nimeambiwa
"He has studied for a long time, but hasn't benefited from it".|alisoma miaka mingi lakini hana alichoambua
remove skin (rind, bark); peel an orange|~ ngozi; ~ mchungwa
which contagious diseases originate from faeces?|magonjwa ya kuambukiza yanayotokana na kinyesi ni magonjwa gani?  [<a href="http://www.njas.helsinki.fi/pdf-files/vol9num2/sewangi.pdf" target="_blank">Sewangi</a>]
this man is my blood brother|huyu ni amini yangu
I trusted him with my money.|nilimwamini na fedha yangu
leader of an army|~ jeshi
lay out a new field (village)|~ shamba (mji)
she awoke in the morning with great eagerness|aliamka asubuhi katika shauku kubwa [Kez]
Regina got up slowly and went to have breakfast|Regina aliamka polepole na kwenda kufungua [Kez]
S/he greeted them, "Good morning".|Aliwaamkia, "Habari za asubuhi?"
"S/he wasn't able to prevent his/her tears, s/he had no control over them".|hakuweza kuyazuia machozi yake, kwani hakuwa na amri nayo [Sul]
He found himself obeying the order of that voice; What kind of person are you not following the orders of your doctor?|Alijiona akitii amri ya sauti ile [Masomo 241]; U mtu wa namna gani wewe usiyetii amri ya daktari wako?  [Chacha, Masomo 375]
he has power over them|ana amri juu yao
He will respect Kenya and support the directives of the national leader.|Atasifu Kenya na kuunga mkono maamrisho ya kiongozi.
Soldiers go whenever and where ever they are commanded to go.|Askari wanakwenda wakati wo wote na mahali po pote wanapoamriwa kwenda [Nyerere, Masomo 277]
Mark, as he had been ordered to, left the room|Marko, kama alivyoamriwa, alitoka kwenye chumba hicho [Masomo 244]
wake them up, I want to see them|waamshe nataka kuwaona [Kez]
Lamu is the Glorious Isle|Lamu ni Kiwandeo
Marko decided to look for that motorboat so as to escape from that place; before he had decided correctly he had received that letter|Marko aliamua kuitafuta motaboti hiyo ili atoroke mahali pale[Masomo 245] kabla hajaamua vyema alikuwa keshaipokea ile barua [Sul]
His/her heart was full of feelings that could not be controlled.|moyo wake ulikuwa umejaa hisia zisizoweza kuamuliwa [Sul]
He decided that my younger sibling should be called "Furaha.|Aliamuru mdogo wangu aitwe "Furaha" [Masomo 303]
The government directed that these schools should be started [Masomo 259]|seikali ikaamuru zianzishwe shule hizi [Masomo 259]
he ordered me to go|aliniamuru niende
gentle wind; a gentle, modest person (figurative)|upepo mwanana; mtu mwanana
a life in easy circumstances|maisha ya ~
God's marvels are many in every nation|Nyingi anasa za Mungu, ndani ya kila taifa [Shaaban Robert, "Rangi Zetu" 9i ]
they are making preparations for war (work)|waliandalia vita kazi
Maksuudi accompanied the entire gathering|[Maksuudi] akamwandama ukumbi mzima [Moh]
the holy month of Ramadhan ended with joy after the new moon appeared|mwezi mtukufu wa Ramadhani ulimalizika kwa furaha baada ya mwezi kuandama [Masomo 335]
he cannot begin his own style of composing poetry if he doesn't follow the rules of poetic composition|hawezi kuanzisha mtindo wake mwenyewe wa kutunga mashairi ikiwa haandami kanuni za ushairi [Khan, Masomo 396]
Yohana entered following two guards|Yohana akaingia akiandamana na askari wawili [Ng]
new moon (rare)|mwezi mwandamo
draw a picture|-andika picha
set the table|~ meza
Education is not just knowing how to read and write.|elimu siyo tu kujua kusoma na kuandika [Ng]
he wrote him a letter|alimwandikia barua
the letters that they were writing to each other before breaking up|barua walizokuwa wakiandikiana kabla ya kuachana [Ma]
Holy Scriptures|Maandiko Matakatifu
the words that were written by Idi's hand.|maneno yaliyoandikwa na mkono wa Idi [Sul]
weather conditions|hali ya anga
give me food even if it is only a little|nipe chakula ~ ni kidogo tu
look!|angalia!
when you observe with your eyes you tilt your head down|ukimwangalia machoni huinamisha kichwa [Kez]
watch out!|angalia!
be caught/tangled in a tree|~ mtini
give me food even if it is only a little|nipe chakula ~ ni kidogo tu
His eyes are focussed on his country.|Macho yake sana yanaangaza nchini mwake [Masomo 392]
the moon lights up the night|mwezi huangaza usiku
fix one's eyes on something, stare|-angaza macho
my child, my house|mtoto wangu, nyumba yangu
pick coconuts|~ nazi
hatch eggs|~ mayai
burst out laughing, burst into tears|~ kicheko, ~machozi
If snow <b>falls</b>, we won't go to the beach.|Theluji iki<b>anguka</b>, hatutakwenda baharini.
waterfall|maanguko ya maji
when he explained to his friends, they burst out laughing at him|alipowaeleza wenzake, walimuangulia vicheko [Sul]
Amin's planes dropped bombs on Bukoba and Mwanza.|Ndege za Amin ziliangusha mabomu Bukoba na Mwanza [Nyerere, Masomo 276]
he fought for his life|aliania maisha yake [Rec]
he intends to become a teacher|anaania kazi ya ualimu
dry meat; dry fish; dry clothes, air clothes; your work is to grate coconut then you go to dry it.|Kazi ... yenu ni kukuna nazi/Kisha mwenda [ku]zianika [Amana, Masomo 407]
it has stopped raining, it has cleared up (figurative)|kumeanuka sasa
address a letter|andika ~ ya barua; anwani ya mwandikiwa huandikwa juu ya bahasha [Masomo, 73]
begin to work|~ kazi
They started to use this dictionary last year.|Walianza kutumia kamusi hii mwaka uliopita.
He claimed that from that day onwards|Alidai kwamba kuanzia siku hiyo [Nyerere, Masomo 274]
found a party|anzisha chama
When they began that school they hired two teachers.|Walipoanzisha shule hiyo waliwaajiri walimu wawili.
The leaders who founded the OAU in 1963|Viongozi walioanzisha OAU mnamo 1963 [Masomo 325]
the aim in initiating this party|shabaha ya kuanzishwa kwa chama hicho [Masomo 218]
their country, their countries|nchi yao, nchi zao
their shop|duka lao
President Nyerere vowed to increase cooperation and strengthen the OAU|Rais Nyere aliapa kuimarisha ushirikiano na kuingiza nguvu zaidi OAU [Masomo 327]
Her father cursed himself, "If my daughter returns, truly I will not force her to get married nor will I arrange a husband for her [Balisidya, Masomo 353]|Baba yake alianza kujiapiza, "Kama akirudi binti yangu, haki tena sitamlazimisha kuolewa, wala sitampangia mume"[Balisidya, Masomo 353]
April is the fourth month|Aprili ni mwezi wa nne
four hundred, the fourth country|~ mia, nchi ya ~
Concerning the earth and the sky, His word is true.|La ardhi na la mbingu, neno lake husadifu [Shaaban Robert, "Rangi Zetu" 4 iii]
Land definitely was a major problem between us and the evil settler government that denied us justice [Kenyatta, Masomo 116]|Ardhi ndiyo iliyokuwa tatizo kubwa baina yetu na serikali mbaya ya walowezi iliyotunyima haki [Kenyatta, Masomo 116]
Let's write with pride|Tuandikieni kwa ari [Said Ahmed Mohamed]
cycles of reporting have to be in place to ensure that partners are informed about progress and challenges|duru za kuripoti lazima ziwepo ili kuhakikisha kuwa washiriki-ubia wamearifiwa juu ya maendeleo na changamoto [<a href="http://www.gainhealth.org/pdf/tool_swahili.pdf" target="_blank"><i>Kitabu cha Ala za Kujengea Ubia</i></a>]
four hundred, the fourth country|~ mia, nchi ya ~
the forty days of the Passion of Jesus Christ|siku arubaini za mateso ya Bwana Yesu
honey, molasses, "Follow the bee and you wil get honey" (proverb - i.e., find a patron)|~ ya nyuki, ~ ya miwa, fuata nyuki ukale ~
After a good meal, she thanked the cook, "Thank you very much for the food."|Baada ya mlo mzuri, alimshukuru mpishi, "Asante sana kwa chakula."
Thank you very much; give thanks, say thanks|~ sana; '-toa ~, '-sema ~
note improvement|-ona ~
evoke affection|-tia ~
evoke yearning|-tia ~
Signaling with his middle finger.|Akiashiri kwa kidole cha kati [Chacha, Masomo 375]
Chahe signaled to Boke that she should sit.|Chahe anamwashiria Boke aketi [Chacha, Masomo 372];Matata alimwashiria kitandani [Muk]
evoke affection|-tia ~
evoke yearning|-tia ~
They have rebelled against their government|wameasia serikali yao
prison guard; local constable, local constabulary (wearing kanzu rather than uniform)|~jela; ~ kanzu
policeman, cavalry|~ polisi, ~ wapanda farasi
of original/proven quality|babu ~
on average more than ninety <strong>percent</strong> of children are in school|kwa wastani zaidi ya <strong>asilimia</strong> 90 ya watoto wamo shuleni
early morning, from morning to evening|~ na mapema, tangu ~ hata jioni
early morning, from morning to evening|~ na mapema, tangu ~ hata jioni
early morning, from morning to evening|~ na mapema, tangu ~ hata jioni
The women decorate themselves with jasimine|Wanawake hujipamba kwa maasumini [Masomo 128]
X is divorced from his wife.|Fulani amemwata mkewe.
He left his wife and children going on foot.|Amwata mkewe na watoto wakwenda kwa miguu [Nabhany, Masomo 294]
he has only one eye (euphamism)|~ ya jicho
A poet may influence people .|Mshairi anaweza kuwaathiri watu [Masomo 393]
She was wounded in two places, in the head and in the chest.|Aliathiriwa sehemu mbili, kichwani na kifuani [Masomo 165]
"Say, they tell me those people are strangers".|~!  yasemwa watu wale ni wageni
Hey you!|~ wewe!
satin|nguo ya ~
atomic bomb|bomu la ~
the ground is cracked from the heat of the sun|nchi imeatuka kwa joto la jua
Do you want coffee or tea?|Unataka kahawa au chai?
inspect a school|~ skuli
survey (mark out) a field|~ shamba
This matter is better (more important), it is unimportant (inconsequential)|jambo hili ni aula, si ~
durable pottery|vyungu vya ~
from beginnning to end; take the first or nothing (proverb)|tangu ~ hata aheri; ~ ni ~, hakuna ~ mbovu
squander money, squander property|~ fedha, ~ mali
Initially she was hostile and did not offer assistance.|Hapo awali aljitia ukali na kutokutoa msaada [Masomo 163]
from beginnning to end; take the first or nothing (proverb)|tangu ~ hata aheri; ~ ni ~, hakuna ~ mbovu
The buildings of this college are being repaired and the first part will be complete next year.|Majengo ya chuo hiki yamekuwa yakirekebishwa na awamu ya kwanza itakamilika mwaka ujao [Masomo 362]
to join together sentences so that they form paragraphs|kuunganisha sentensi ili zifanye aya [Masomo 194]
watch out for the scoundrel who is in the tree (proverb)|mwangalie ayari huyu aliyeko mtini (methali)
no-confidence motion|~ la kutokuwa na imani
no-confidence motion|~ la kutokuwa na imani
Don't criticize me in front of the people.|Usiniaziri mbele za watu
she was passing among numerous bars to find men|alikuwa akipita katika mabaa kutafuta wanaume [Mt]
this rain has led to a great catastrophe|mvua hii imetuletea baa na balaa
after many years, after work|~ ya miaka mingi, ~ ya kazi
The Portuguese arrived in Mombasa and afterwards proceeded to Malindi.|Wareno walifika Mombasa, baadae walielekea Malindi [Masomo 143]
We will eat now, <b>afterwards</b> we will visit our friend.|Tutakula sasa, <b>baadaye</b> tutamzuru rafiki yetu.
we'll see each other later|tutaonana baadaye
The students are divided into two sections|Wanafunzi wamegawanyika baadhi mbili
some of the people; some days|baadhi ya watu; baadhi ya siku
Holy Father, Pope|~ Mtakatifu
uncle (older/younger brother of one's father)|~ mkubwa, ~ mdogo
beat with the wings|~ mbawa
the Fathers of the Church|Mababu wa Kanisa
of superior quality (character), of inferior quality (character)|~ kubwa, ~ ndogo
instead of|~ ya
change one's mind; have a change of air (rest, recuperation); change money; change clothes|~ shauri; ~ hewa; ~ fedha; ~nguo
We know God Alimighty, through what is changeable|Twajua Mwenyezi Mungu, kwa mambo mabadilifu [Shaaban Robert, "Rangi Zetu" 4 I]
When she returned Matika was not like before.  She had changed greatly.|Matika aliporudi hakuwa yule yule wa zamani.  Alikuwa amebadilika vikubwa [Balisidya, Masomo 353]; na sasa kabadilika kabisa [Muk]
They have not yet arrived|hawajafika ~
He is still a child.|huyu ni mtoto bado
they smiled inside the immensity of their understanding|wakitabasamu ndani ya bahari yao ya uelewano [Ma]
they could see the ocean if it sparkled in the sun|waliweza kuiona bahari ikimeta kwenye jua lile [Sul]
literature is vast and has many branches|fasihi ni bahari yenye tanzu nyingi [Alamin Mazrui, Chembe cha Moyo vii]
do not forget what it is to be a sailor because of being a captain yourself (proverb)|usisahau ubaharia kwa sababu ya unahodha (methali)
good luck!|bahati njema!
I was fortunate enough to have conversations with him.|Nilibahatisha kuwa na mazungumzo naye [Masomo 303]
The property of a miser is apt to be eaten by insects (proverb).|mali ya ~ huliwa na wadudu
among the people|~ ya watu
between Tanga and Dar es Salaam|~ ya Tanga na Daressalam
that murderer is now recognized|yule mwuaji sasa amebaini
I realized that our complaints and demands needed to be strengthened and to be better explained.  Jomo Kenyatta|Nilionelea kwamba malalamiko na madai yetu yalihitaji kutiwa nguvu na kubainishwa zaidi [Masomo 113]
white overalls with black stains from automotive grease|ovaroli jeupe lenye mabaka mabaka ya weusi wa grisi ya magari [Ma]
My grandchild even today you can see what remains of ancient life.|Mjukuu wangu hata leo unaweza kuona mabaki ya maisha ya kale [Masomo 304]
One entered the room and the other stayed here.|Mmoja aliingia chumbani na mwingine akabaki hapa [Masomo 167]
saltcellar|kibakuli cha chumvi
this rain has led to a great catastrophe|mvua hii imetuletea baa na balaa
Here at home a major problem has developed and you don't want to mention it.|Humu nyumbani kumezuka balaa na wewe hutaki kuitaja [Chacha, Masomo 373]
white mbalanga, black mbalanga|~ nyeupe, ~ nyeusi
When a girl reaches puberty she becomes a young woman|Msichana akibaleghe huwa mwari [Masomo 126]
this girl is now at the age of puberty|mtoto huyu sasa ~
the car door slammed close with a forceful bang|mlango wa gari unajibana kwa nguvu na kishindo [Muk]
the pants were tight-fitting on her|suruali yenyewe imembana [Moh]
ankle bracelet|~ za mguu
ankle bracelet|~ za mguu
S/he told a tale about Banawasi|Alisimulia hadithi ya Banawasi
horse stable, garage, rail station, hangar, shed erected on plantations as a rest place for workers|~ la farasi, ~ la motokaa, ~ la gari, ~ la ndege, ~ la starehe
river port|bandari ya mto
sew, stitch|-fanya ('-shona) ~
artificial arm|mkono wa bandia [Masomo 240]
doll|mtoto wa ~
affix a stamp, put on a bandage|~ stempu, ~ dawa
put on a load|~ mzigo
ankle bracelet|~ za mguu
cooperative bank, postal savings bank, bank of issue|benki ya shirika, benki ya abika kwa njia ya posta, benki ya ugawaji
diving board, trampoline|~ la kuruka
prophesy, tell fortunes|-piga ~
level surface|sura bapa
level surface|sura bapa
continent of Africa|bara ya Afrika [Ulaya]
To prepare children so that they will be able to participate appropriately in national life.|Kuwatayarisha watoto waweze kushiriki barabara katika maisha ya taifa [Masomo 256]
traffic regulations|kanuni za barabarani
to wish they have, success, blessings, a good life and a strong heart|kuwatakia heri, baraka, maisha mema na moyo mgumu [Ya]
he has had bad luck|hana baraka
legislative assembly|baraza la kufanya sheria
12 ministers who were in the cabinet of retired President Benjamin Mkapa were returned in the new cabinet|mawaziri 12 waliokuwa katika Baraza la Rais mstaafu Benjamin Mkapa wamerejeshwa katika baraza jipya (<a href="http://www.kurayako.com/2005/habari/article.php?article_id=931 target="_blank">KuraYako.com</a>, 4 January 2006)
World Peace Council|baraza la Amani la Dunia
Those people sat on the baraza.|Watu wale walikaa barazani [Nabhany, Masomo 292]
The cold from Mount Kenya is entering; cold war|Baridi kutoka mlima wa Kenya inaingia [Alamin Mazrui "Bega kwa Bega"4]; vita baridi
rheumatism|baridi yabis[i]
gentle words|maneno ya baridi
a chill enveloped him|baridi nyembamba ilimvaa [Moh]
She read the <b>letter</b> that I wrote.|Aliisoma <b>barua</b> ambayo niliandika.
O.K.  First you must feel some shame!|Bas ona wewe haya kwanza!  [Chacha, Masomo 375]
"well, let's go".|basi twende
Listen to the cry that is spreading out/in sadness announcing/ the dange that is spreading itself.|Pulikeni kilio kilotawanyika/kwa huzuni kikibashiri/hatari ilojisambika [Alamin Mazrui "Kilio cha Afrika" 30]
l hope it is good news|bashiri heri
well, let's go|basi twende
well, let's go|bassi twende
The pistol was used to kill the dogs.|Bastola ilitumiwa kuwaua mbwa.
Americans eat <b>turkey</b> for the Thanksgiving holiday|Wamerekani hula <b>bata mzinga</b> kwa siku kuu ya kutoa shukrani
corrugated-iron hut|nyumba ya bati [mabati]
sheet-metal worker|fundi wa bati
coat or line with tin|tia bati
"diving board, trampoline".|bau la kuruka
"prophesy, tell fortunes".|piga bau
game played on a board|bao la mtaji
we scored six goals|tuliwafunga [coll.  tuliwapiga] mabao sita
don't force me!|usiniletee bavu!
guard in a prison.|bawabu wa gereza
wicked person|mtu mbaya
that murderer is now recognized|yule mwuaji sasa amebaini
she was not carrying heavy things|alikuwa habebi vitu vizito [Kez]
the truck will not be <b>transport</b>ing fruit|lori halitakuwa lina<b>beba</b> matunda
swing cloths|bebea vitambaa
dictatorial government|serikali ya kibeberu
Tegemea put his hoe on his shoulder; shoulder to shoulder eg.  side by side|Tegemea aliweka jembe lake begani [Kez]; bega kwa bega
passenger [freight] car|behewa la abiria [bidhaa]
this house consists of a single room [i.e.  is not divided up by partitions.|nyumba hii ni behewa
I wanted to buy the car, but I decided to seek a good <b>price</b>.|Nilitaka kununua gari, lakini niliamua kutafuta <b>bei</b> nafuu.
public treasury|beit al mal.
Mosquitos must be kept off.|lazima ubekue mbu
river port|bendari ya mto
he turns like a flag in the wind|yeye ni bendera hufuata upepo
the banner flutters in the wind|bendera hufuata upepo
cooperative bank|bengi ya shirika
Band instruments are used.|Vyombo vya beni hutumiwa [Masomo 131]
postal savings bank|benki ya akiba kwa njia ya posta
Idi and Bahati were in a black Mercedes|Idi na Bahati walikuwa ndani ya benzi ile nyeusi [Sul]
At this point he is lowering his shoulders to show that he is overwhelmed.|Huku akibetua mabega kuonyesha kushindwa [Chacha, Masomo 373]
this is our joint shop|hili ni duka letu la bia
carry on business|fanya biashara
advertise|tangaza biashara
merchandise|mali ya biashara
Ladies and Gentlemen|Mabibi na Mabwana
